"movie_title","director_name","duration","actor_1_name","actor_2_name","actor_3_name","language","gross","budget","movie_facebook_likes","country","imdb_score","plot_keywords","genres_1","genres_2","genres_3","profit","returnOnInvesement"
"Avatar ","James Cameron",178,"CCH Pounder","Joel David Moore","Wes Studi","English",760505847,2.37e+08,33000,"USA",7.9,"avatar|future|marine|native|paraplegic","Action","Adventure","Fantasy",523505847,220.888543037975
"Pirates of the Caribbean: At World's End ","Gore Verbinski",169,"Johnny Depp","Orlando Bloom","Jack Davenport","English",309404152,3e+08,0,"USA",7.1,"goddess|marriage ceremony|marriage proposal|pirate|singapore","Action","Adventure","Fantasy",9404152,3.13471733333333
"Spectre ","Sam Mendes",148,"Christoph Waltz","Rory Kinnear","Stephanie Sigman","English",200074175,2.45e+08,85000,"UK",6.8,"bomb|espionage|sequel|spy|terrorist","Action","Adventure","Thriller",-44925825,-18.3370714285714
"The Dark Knight Rises ","Christopher Nolan",164,"Tom Hardy","Christian Bale","Joseph Gordon-Levitt","English",448130642,2.5e+08,164000,"USA",8.5,"deception|imprisonment|lawlessness|police officer|terrorist plot","Action","Thriller",NA,198130642,79.2522568
"Star Wars: Episode VII - The Force Awakens ","Doug Walker",NA,"Doug Walker","Rob Walker",NA,NA,25517500,2e+07,0,NA,7.1,NA,"Documentary",NA,NA,5517500,27.5875
"John Carter ","Andrew Stanton",132,"Daryl Sabara","Samantha Morton","Polly Walker","English",73058679,263700000,24000,"USA",6.6,"alien|american civil war|male nipple|mars|princess","Action","Adventure","Sci-Fi",-190641321,-72.2947747440273
"Spider-Man 3 ","Sam Raimi",156,"J.K. Simmons","James Franco","Kirsten Dunst","English",336530303,2.58e+08,0,"USA",6.2,"sandman|spider man|symbiote|venom|villain","Action","Adventure","Romance",78530303,30.4381019379845
"Tangled ","Nathan Greno",100,"Brad Garrett","Donna Murphy","M.C. Gainey","English",200807262,2.6e+08,29000,"USA",7.8,"17th century|based on fairy tale|disney|flower|tower","Adventure","Animation","Comedy",-59192738,-22.7664376923077
"Avengers: Age of Ultron ","Joss Whedon",141,"Chris Hemsworth","Robert Downey Jr.","Scarlett Johansson","English",458991599,2.5e+08,118000,"USA",7.5,"artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero","Action","Adventure","Sci-Fi",208991599,83.5966396
"Harry Potter and the Half-Blood Prince ","David Yates",153,"Alan Rickman","Daniel Radcliffe","Rupert Grint","English",301956980,2.5e+08,10000,"UK",7.5,"blood|book|love|potion|professor","Adventure","Family","Fantasy",51956980,20.782792
